experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,architecture,skip_distance_cfg,skip_alpha_cfg
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,10,1,True,0,42,15.625969,3.824875,959.547607,3626285.500000,0.959330,0.875020,2.327777,1664160,12.07,15,False,False,ReLU,MAX_EPOCHS,15.82199955,15.82199955,13.49473572,14,1.000000,False,"[""53.03413773"", ""28.83955193"", ""27.64097214"", ""26.29442596"", ""24.31228447"", ""23.66696548"", ""21.25044632"", ""19.95257950"", ""20.10060883"", ""19.51485062"", ""18.14154053"", ""17.67361259"", ""17.50772095"", ""17.96718025"", ""15.82199955""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,10,1,True,1,43,14.552820,3.368489,885.525757,3384234.000000,0.869074,0.781665,2.083881,1664160,11.69,15,False,False,ReLU,MAX_EPOCHS,15.33254528,15.33254528,13.02996254,14,1.000000,False,"[""38.03180313"", ""28.92767715"", ""26.73270988"", ""24.88741493"", ""21.20547104"", ""20.95102310"", ""20.83321381"", ""19.28488731"", ""17.74957275"", ""20.16505241"", ""16.30871773"", ""16.78287506"", ""16.06521225"", ""18.47304726"", ""15.33254528""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE10_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,10,1,True,2,44,16.476738,4.204211,1011.308411,3755291.750000,1.033087,0.948121,2.564939,1664160,11.93,15,False,False,ReLU,MAX_EPOCHS,16.47007179,17.27817345,13.43551159,13,1.049065,False,"[""53.61223984"", ""28.79208755"", ""27.53203583"", ""40.00036621"", ""23.56678772"", ""21.53417587"", ""21.51343346"", ""21.62041283"", ""18.77174759"", ""18.61837959"", ""19.62318230"", ""18.53288651"", ""17.30648422"", ""16.47007179"", ""17.27817345""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,20,1,True,0,42,15.580511,3.879984,951.792236,3563241.000000,0.964873,0.892079,2.392762,3328320,12.61,15,False,False,ReLU,MAX_EPOCHS,15.25365734,15.25365734,12.32941818,14,1.000000,False,"[""59.73899460"", ""55.52936935"", ""57.16733551"", ""50.57379532"", ""49.62143326"", ""49.90233231"", ""47.77013397"", ""38.56785202"", ""17.26671791"", ""21.86046982"", ""23.92536926"", ""23.69094086"", ""19.82919502"", ""18.10964012"", ""15.25365734""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,20,1,True,1,43,16.375776,4.174155,1012.209167,3742962.250000,1.026217,0.935750,2.494078,3328320,12.76,15,False,False,ReLU,MAX_EPOCHS,15.71293068,18.01297951,13.11504841,13,1.146379,False,"[""32.41548157"", ""27.96566391"", ""27.51720047"", ""21.33738708"", ""20.73331261"", ""19.33772469"", ""18.20772552"", ""19.28259850"", ""17.11261940"", ""18.73288536"", ""19.21966934"", ""16.31723213"", ""16.36262894"", ""15.71293068"", ""18.01297951""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,20,1,True,2,44,16.578829,4.257474,1032.982544,3922574.250000,1.042912,0.959410,2.569711,3328320,12.84,15,False,False,ReLU,MAX_EPOCHS,16.00331116,16.00331116,13.20627594,14,1.000000,False,"[""58.73186493"", ""62.40130615"", ""60.20008850"", ""51.21469498"", ""51.66723251"", ""49.27724075"", ""40.01202774"", ""16.86942482"", ""20.57250023"", ""19.71612740"", ""16.26315498"", ""16.01606178"", ""16.58735847"", ""17.67415810"", ""16.00331116""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,30,1,True,0,42,14.732271,3.545235,914.720764,3546993.000000,0.896802,0.809622,2.083303,4992480,13.89,15,False,False,ReLU,MAX_EPOCHS,14.74122047,16.15284538,11.54717255,13,1.095760,False,"[""56.79232025"", ""30.80049133"", ""23.74765015"", ""21.08969879"", ""17.82356453"", ""16.98908424"", ""16.14895630"", ""15.42284012"", ""15.13376808"", ""17.18431854"", ""16.10883141"", ""16.52015686"", ""17.98106766"", ""14.74122047"", ""16.15284538""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,30,1,True,1,43,15.499620,3.796007,944.007935,3498952.000000,0.951832,0.872522,2.324267,4992480,13.98,15,False,False,ReLU,MAX_EPOCHS,15.20532990,16.10695076,11.66074181,13,1.059296,False,"[""35.56748199"", ""28.96891785"", ""22.91842079"", ""22.11183739"", ""19.98003578"", ""20.53151894"", ""18.86896706"", ""20.24317741"", ""23.94906616"", ""18.50348663"", ""16.97229385"", ""15.51117420"", ""15.95724964"", ""15.20532990"", ""16.10695076""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE30_no_skip,genericAE_baseline,['GenericAE'],Yearly,1,6,30,30,1,True,2,44,15.259941,3.814639,936.677246,3491083.250000,0.946843,0.843483,2.177243,4992480,13.90,15,False,False,ReLU,MAX_EPOCHS,14.75988483,14.75988483,13.94543839,14,1.000000,False,"[""60.46202087"", ""65.76151276"", ""51.43392563"", ""49.63985825"", ""48.54351807"", ""47.32032013"", ""21.25914955"", ""21.49017906"", ""22.28078461"", ""20.63825226"", ""15.98041821"", ""16.16091156"", ""15.13501453"", ""16.70353889"", ""14.75988483""]",1,GenericAE,0,none
resnet_skip_study_v2_r1,GAE20_skip5_a01,genericAE_skip,['GenericAE'],Yearly,1,6,30,20,1,True,0,42,14.929390,3.566113,918.349915,3492777.000000,0.905460,0.815348,2.094865,3328320,13.22,15,False,False,ReLU,MAX_EPOCHS,14.78986549,14.78986549,11.83910561,14,1.000000,False,"[""46.01284409"", ""32.80460358"", ""31.52485657"", ""24.35983086"", ""20.63293457"", ""23.37490845"", ""17.56853676"", ""18.05859947"", ""17.86532784"", ""15.86057377"", ""15.88103962"", ""15.27504253"", ""16.24180603"", ""16.42617607"", ""14.78986549""]",1,GenericAE,5,0.1
resnet_skip_study_v2_r1,GAE20_skip5_a01,genericAE_skip,['GenericAE'],Yearly,1,6,30,20,1,True,1,43,14.811401,3.504421,914.753479,3506258.250000,0.894088,0.804462,2.130490,3328320,13.42,15,False,False,ReLU,MAX_EPOCHS,15.07270145,16.76737404,11.59398746,12,1.112433,False,"[""33.79049683"", ""27.90715027"", ""24.59453011"", ""21.60859871"", ""20.53133011"", ""18.45812988"", ""17.18707466"", ""16.25887680"", ""15.82061577"", ""17.03624916"", ""15.54800415"", ""16.68776321"", ""15.07270145"", ""15.16725826"", ""16.76737404""]",1,GenericAE,5,0.1
